TIC_ID,RA,DEC,Target_Magnitude,Target_Temperature,Target_Radius,Target_Mass,Target_Luminosity,Neighbor_Count,Nearest_Distance_arcsec,Nearest_Magnitude,Brightest_Neighbor_Magnitude,Mean_Neighbor_Magnitude,Total_Neighbor_Flux,Sector,LightCurve_File,Transit_Detected,Detected_Period_days,Transit_Depth,Transit_Duration_hours,Signal_to_Noise,Predicted_Class,Confidence,True_Label
10551952.0,340.242710868732,33.3647418717355,9.0665,4125.0,43.8376,,,3,13.186735527128002,16.932,16.3032,17.195133333333334,5.155397982725154e-07,56,,,,,,,,,
10552018.0,340.113971229541,33.4418916560324,10.3813,4580.42,12.7425,,,5,3.5626902510073877,15.261,15.261,16.033800000000003,2.4768934114260096e-06,56,,,,,,,,,
10552022.0,340.192790790269,33.4441358954373,11.3326,5827.0,1.44171,1.05,,4,10.727337329491693,16.5558,15.8965,16.8729,9.914971826132308e-07,56,,,,,,,,,
10552286.0,340.237412082106,33.759457749486,9.267,4857.0,8.40898,,,8,16.210066703046,17.343,16.924,18.6622625,4.6065340203201974e-07,56,,,,,,,,,
10552294.0,340.1980463581,33.7672222869118,11.3102,6431.0,1.55776,1.3,,5,13.339268489460862,17.6679,17.6679,18.6763,2.5995310350404006e-07,56,,,,,,,,,
10552429.0,340.20683490644,33.9180737264244,10.0341,6213.0,1.33157,,,5,14.682128325115105,19.3476,16.4422,17.60546,6.886990877694901e-07,56,,,,,,,,,
10552439.0,340.152237484532,33.9290403248117,8.3191,4459.0,14.4999,,,4,25.234376113958998,12.2241,12.2241,16.33885,1.328516454796399e-05,56,,,,,,,,,
10552577.0,340.220209969954,34.0849879171368,11.2877,4253.3,24.0064,,,5,12.503718733332073,19.1615,12.6125,16.5143,9.68687860026134e-06,56,,,,,,,,,
10552693.0,340.119468545316,34.2095369541856,10.315,6007.0,1.07787,1.109,,1,24.75073702571872,20.349,20.349,20.349,7.251034976171987e-09,56,,,,,,,,,
10552731.0,340.166873072792,34.2516406488593,8.6557,4873.0,11.2064,,,3,16.42102247638048,18.9732,18.9732,19.330333333333332,5.94765184249431e-08,56,,,,,,,,,
10552735.0,340.228442299855,34.2600007650185,10.649,6307.05,2.24421,1.24,,1,29.105169207202003,19.6857,19.6857,19.6857,1.3357340593019922e-08,56,,,,,,,,,
10552874.0,340.161419351558,34.4100645360785,11.0855,4135.66,27.104,,,2,26.679707010751954,19.9974,19.9974,20.423099999999998,1.4599912194875524e-08,56,,,,,,,,,
10552933.0,340.117120874898,34.4797471292126,11.4792,4509.0,17.5841,,,3,17.158474640002698,17.0493,17.0493,18.5822,2.1826941822301124e-07,56,,,,,,,,,
